,Country,Ground.Truth.Internet.GG,Jun_Internet_online_model,Sep_Internet_online_model,Oct_Internet_online_model,Nov_Internet_online_model,Jun_Internet_online_offline_model,Sep_Internet_online_offline_model,Oct_Internet_online_offline_model,Nov_Internet_online_offline_model,Internet.Offline.model.prediction,Mobile_GG,Jun_Mobile_online_model,Sep_Mobile_online_model,Oct_Mobile_online_model,Nov_Mobile_online_model,Jun_Mobile_online_offline_model,Sep_Mobile_online_offline_model,Oct_Mobile_online_offline_model,Nov_Mobile_online_offline_model,Mobile.Offline.model.prediction,Sep_ Jun_ Internet_online_model perc_change _,Oct_ Sep_ Internet_online_model perc_change _,Nov_ Oct_ Internet_online_model perc_change _,Sep_ Jun_ Internet_online_offline_model perc_change _,Oct_ Sep_ Internet_online_offline_model perc_change _,Nov_ Oct_ Internet_online_offline_model perc_change _,Sep_ Jun_ Mobile_online_model perc_change _,Oct_ Sep_ Mobile_online_model perc_change _,Nov_ Oct_ Mobile_online_model perc_change _,Sep_ Jun_ Mobile_online_offline_model perc_change _,Oct_ Sep_ Mobile_online_offline_model perc_change _,Nov_ Oct_ Mobile_online_offline_model perc_change _,Numeric Country
51,GNQ,NA,0.752,0.757,0.764,0.765,NA,NA,NA,NA,NA,NA,0.767,0.786,0.795,0.793,0.842,0.860,0.860,0.861,NA,0.615,0.922,0.098,NA,NA,NA,2.392,1.223,-0.254,2.145,-0.020,0.182,226
52,ERI,NA,0.859,0.833,0.830,0.868,NA,NA,NA,NA,NA,NA,0.998,0.961,0.951,1.000,0.960,0.897,0.882,0.954,NA,-3.079,-0.307,4.602,NA,NA,NA,-3.681,-1.045,5.172,-6.551,-1.609,8.133,232
53,EST,0.977,0.986,0.986,0.986,0.984,0.988,0.988,0.988,0.985,0.984,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,-0.224,0.000,0.000,-0.291,0.000,0.000,0.000,NA,NA,NA,233
54,ETH,NA,0.719,0.743,0.740,0.735,0.845,0.876,0.873,0.866,0.638,NA,0.745,0.771,0.776,0.774,0.604,0.642,0.646,0.643,0.595,3.330,-0.271,-0.777,3.696,-0.300,-0.860,3.473,0.673,-0.217,6.252,0.594,-0.421,231
55,FJI,NA,0.973,0.973,0.956,0.975,NA,NA,NA,NA,NA,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,-1.742,1.970,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,242
56,FIN,1,0.986,0.986,0.986,0.986,0.991,0.991,0.991,0.991,0.98,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,246
57,FRA,0.977,0.980,0.954,0.979,0.979,0.982,0.949,0.982,0.982,0.959,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,-2.565,2.620,0.000,-3.340,3.438,0.000,0.000,0.000,0.000,NA,NA,NA,250
58,GAB,NA,0.840,0.849,0.849,0.854,NA,NA,NA,NA,NA,NA,0.909,0.933,0.933,0.925,0.975,0.993,0.990,0.981,0.927,1.001,0.093,0.495,NA,NA,NA,2.679,0.045,-0.938,1.855,-0.362,-0.829,266
59,GEO,0.912,0.943,0.951,0.967,0.967,0.916,0.926,0.948,0.948,0.94,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.809,1.757,0.000,1.087,2.354,0.000,0.000,0.000,0.000,NA,NA,NA,268
60,DEU,0.953,0.918,0.940,0.918,0.918,0.936,0.966,0.936,0.936,0.945,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,2.458,-2.399,0.000,3.145,-3.049,0.000,0.000,0.000,0.000,NA,NA,NA,276
